,name,status,link,flag,abandon_date,notified_date,port,reported_by,abandon_year,notified_year
383,Debbie,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=15&p_search_id=211217142103,Tanzania,6 May 2004,6 May 2004,Mombasa (Kenya),ITF,2004,2004
384,Destiny,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=67&p_search_id=211217142103,Panama,21 January 2008,11 March 2008,"Mindelo, Cape Verde",ITF,2008,2008
385,Donald Duckling,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=207&p_search_id=211217142103,Panama,9 November 2013,29 November 2013,Tyne Port / UK,ITF,2013,2013
386,Donita,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=123&p_search_id=211217142103,St. Vincent & Grenadines,3 July 2009,3 December 2009,Istanbul,ITF,2009,2009
387,Dover,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=88&p_search_id=211217142103,Malta,31 May 2009,6 June 2009,"Korsoer, Denmark",ITF,2009,2009
388,Eastern Planet,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=154&p_search_id=211217142103,Sierra Leone,23 July 2010,4 August 2010,"Algeciras, Spain",ITF,2010,2010
389,Egalabur,fishing vessel,seafarersbrowse.details?p_lang=en&p_abandonment_id=24&p_search_id=211217142103,Spain,28 September 2004,28 September 2004,Villagarcia (Spain),Govt. of Spain,2004,2004
390,Eureka III,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=13&p_search_id=211217142103,Malaysia,15 October 2004,15 October 2004,Miri (Malaysia),ITF,2004,2004
391,Fiona,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=105&p_search_id=211217142103,Malta,8 June 2009,June 2009,"Ancona, Italy",ITF,2009,2009
392,Flash,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=16&p_search_id=211217142103,St. Vincent & Grenadines,6 January 2004,6 January 2004,"Augusta, Sicily (Italy)",ITF,2004,2004
393,Fritz,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=213&p_search_id=211217142103,Liberia,2 July 2014,23 October 2014,"Oshawa, Canada",ITF,2014,2014
