,name,status,link,flag,abandon_date,notified_date,port,reported_by,abandon_year,notified_year
148,Lady Bo,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=363&p_search_id=211217142103,Panama,4 October 2018,October 2018,"Burgas, Bulgaria",ITF,2018,2018
149,Lady Caroline,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=392&p_search_id=211217142103,Syria,20 May 2019,4 June 2019,"Latakia, Syria",ITF,2019,2019
150,Larobon,,seafarersbrowse.details?p_lang=en&p_abandonment_id=533&p_search_id=211217142103,Zambia,23 March 2021,4 May 2021,"Valletta, Malta",ITF,2021,2021
151,Lena,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=171&p_search_id=211217142103,Antigua & Barbuda,17 March 2011,11 May 2011,"Sete, France",ITF,2011,2011
152,Lerik,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=469&p_search_id=211217142103,Malta,28 September 2020,19 October 2020,"Istanbul anchorage, Turkey",ITF,2020,2020
153,Levant Orient,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=344&p_search_id=211217142103,Panama,9 March 2018,9 May 2018,"Berbera Somalia Anchorage, Somalia",ITF,2018,2018
154,Libra 2,,seafarersbrowse.details?p_lang=en&p_abandonment_id=298&p_search_id=211217142103,Togo,20 July 2017,20 July 2017,"Pusan, Korea",Charitable organisation,2017,2017
155,Little Star,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=147&p_search_id=211217142103,Georgia,17 June 2009,,Fecamp,Govt. of France,2009,
156,Lord,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=295&p_search_id=211217142103,Panama,25 July 2017,25 July 2017,"Zhangjiagang, China",ITF,2017,2017
157,Lua,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=508&p_search_id=211217142103,Panama,7 January 2021,14 January 2021,"Fujairah, UAE",ITF,2021,2021
158,Lyubov Orlova ,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=161&p_search_id=211217142103,Cook Islands,28 September 2010,16 December 2010,"St John's, Canada",ITF,2010,2010
159,M.T. Gagasan Johor,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=232&p_search_id=211217142103,Malaysia,24 October 2015,24 October 2015,"Chittagong Charlie Anchorage, Bangladesh",ITF,2015,2015
160,M.T. Kutch Bay,,seafarersbrowse.details?p_lang=en&p_abandonment_id=514&p_search_id=211217142103,Panama,12 January 2021,20 January 2021,"Colombo, Sri Lanka",International Maritime Organisation,2021,2021
161,M.V Jireh,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=418&p_search_id=211217142103,Nigeria,26 November 2019,21 February 2020,Portland,Govt. of United Kingdom,2019,2020
162,M.V. Nezha,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=429&p_search_id=211217142103,Comoros,December 2019,30 March 2020,"Iskendrun/Antalya, Turkey",Non-governmental Organization,2019,2020
163,M/V Aegean Princess,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=272&p_search_id=211217142103,Panama,29 March 2017,,"Ajman Port, UAE",ITF,2017,
164,M/V HACININ AHMET,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=196&p_search_id=211217142103,Turkey,February 2013,27 February 2013,Ponta Delgada - Azores,ITF,2013,2013
165,MALAVIYA SEVEN,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=258&p_search_id=211217142103,India,6 October 2016,,Aberdeen,ITF,2016,
166,MKN 204,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=483&p_search_id=211217142103,St. Vincent & Grenadines,17 August 2020,12 November 2020,"Dammam, Saudi Arabia",ITF,2020,2020
167,MKN 205,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=488&p_search_id=211217142103,St. Vincent & Grenadines,17 November 2020,2 December 2020,"Ras Tanura, Saudi Arabia",ITF,2020,2020
168,MR Louis,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=476&p_search_id=211217142103,Tanzania,25 September 2020,23 October 2020,"Georgetown anchorage, Guyana",ITF,2020,2020
169,MT Aries1,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=498&p_search_id=211217142103,Panama,4 September 2019,18 December 2020,UAE,ITF,2019,2020
170,MT Basra Star,,seafarersbrowse.details?p_lang=en&p_abandonment_id=460&p_search_id=211217142103,Independent State of Samoa,June 2020,12 October 2020,"Ratnagiri, India",International Chamber of Shipping,2020,2020
171,MT Fairy Tale,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=451&p_search_id=211217142103,Belize,June 2020,28 August 2020,"Bluff Jetty (BCI 1) Durban, South Africa",International Chamber of Shipping,2020,2020
172,MT Gulf Sky,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=440&p_search_id=211217142103,Dominica,March 2020,15 June 2020,Khor Fakkan,Non-governmental Organization,2020,2020
173,MT Iba,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=428&p_search_id=211217142103,Panama,January 2019,30 March 2020,"Hamriya port, UAE",Non-governmental Organization,2019,2020
174,MT Remos,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=431&p_search_id=211217142103,Panama,16 November 2019,15 April 2020,"Tema (anchorage), Ghana",ITF,2019,2020
175,MT Tazihiri,,seafarersbrowse.details?p_lang=en&p_abandonment_id=407&p_search_id=211217142103,Independent State of Samoa,16 October 2019,25 October 2019,Malta,ITF,2019,2019
176,MV Ahoora,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=455&p_search_id=211217142103,Iran,May 2018,12 October 2020,"Bandar Abbas, Iran",International Chamber of Shipping,2018,2020
177,MV Akin,,seafarersbrowse.details?p_lang=en&p_abandonment_id=570&p_search_id=211217142103,Panama,July 2021,17 September 2021,"Zongaldak, Turkey",ITF,2021,2021
178,MV DARSHANI PREM,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=415&p_search_id=211217142103,India,August 2019,3 December 2019,"Kakinada, India",Non-governmental Organization,2019,2019
179,MV Kayu Putih,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=234&p_search_id=211217142103,Indonesia,9 December 2015,16 December 2015,"Qinhuangdao, China",ITF,2015,2015
180,MV Linda 1,,seafarersbrowse.details?p_lang=en&p_abandonment_id=499&p_search_id=211217142103,Togo,11 December 2020,18 December 2020,"Bhavnagar, India",ITF,2020,2020
181,MV Maraya,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=409&p_search_id=211217142103,,9 November 2019,13 November 2019,OTW Malta,ITF,2019,2019
182,MV Mousa Khan,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=427&p_search_id=211217142103,Iran,February 2019,30 March 2020,"Dayyer Port, Iran",Non-governmental Organization,2019,2020
183,Macallan 18,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=505&p_search_id=211217142103,Malaysia,1 October 2020,4 January 2021,"Miri, Malaysia",ITF,2020,2021
184,Maha ,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=14&p_search_id=211217142103,,5 March 2004,5 March 2004,Abidjan (Côte d'Ivoire),ITF,2004,2004
185,Mahal,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=378&p_search_id=211217142103,United Arab Emirates,November 2017,4 January 2019,"Hamriyah Free Zone, Sharjah, UAE",Other,2017,2019
186,Makan 1,,seafarersbrowse.details?p_lang=en&p_abandonment_id=500&p_search_id=211217142103,Iran,April 2019,18 December 2020,"Busher, Iran",ITF,2019,2020
187,Makan 8,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=526&p_search_id=211217142103,Iran,November 2019,15 March 2021,"Bushehr, Iran",ITF,2019,2021
188,Mamolar Defender,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=271&p_search_id=211217142103,Malta,10 March 2017,16 March 2017,POINTE NOIRE,ITF,2017,2017
189,Manantial,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=484&p_search_id=211217142103,Ecuador,31 July 2020,18 November 2020,"Concepcion BAy, Chile",ITF,2020,2020
190,Mariam,,seafarersbrowse.details?p_lang=en&p_abandonment_id=410&p_search_id=211217142103,Togo,9 November 2019,14 November 2019,"Gabes Port, Tunisia",ITF,2019,2019
191,Mariama,,seafarersbrowse.details?p_lang=en&p_abandonment_id=544&p_search_id=211217142103,Ukraine,2 June 2021,11 June 2021,"Freetown, Sierra Leone",ITF,2021,2021
192,Marin,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=282&p_search_id=211217142103,Democratic Republic of Congo (Zaire),8 June 2017,9 June 2017,Las Palmas,ITF,2017,2017
193,Marina,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=374&p_search_id=211217142103,Belize,10 December 2018,12 December 2018,Kawasaki,ITF,2018,2018
194,Markabi Griffin,,seafarersbrowse.details?p_lang=en&p_abandonment_id=388&p_search_id=211217142103,Belize,January 2019,11 April 2019,Qatar,Govt. of Belize,2019,2019
195,Markabi Phil,,seafarersbrowse.details?p_lang=en&p_abandonment_id=390&p_search_id=211217142103,Belize,January 2019,11 April 2019,Qatar,Govt. of Belize,2019,2019
196,Marsol Dragon,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=539&p_search_id=211217142103,Panama,17 May 2021,27 May 2021,"Abu Dhabi, UAE",ITF,2021,2021
197,Marvin Confidence,,seafarersbrowse.details?p_lang=en&p_abandonment_id=559&p_search_id=211217142103,Panama,1 July 2021,8 July 2021,"Rotterdam, Netherlands",ITF,2021,2021
198,Marvin Faith,,seafarersbrowse.details?p_lang=en&p_abandonment_id=558&p_search_id=211217142103,Panama,1 July 2021,8 July 2021,"Rotterdam, Netherlands",ITF,2021,2021
199,Med Link,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=482&p_search_id=211217142103,Lebanon,20 October 2020,12 November 2020,"Port Sudan, Sudan",ITF,2020,2020
200,Medi Hakata,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=550&p_search_id=211217142103,Panama,14 June 2021,14 June 2021,"Vessel is still sailing, currently en-route to Durban, South Africa.",ITF,2021,2021
201,Mekong Spirit,,seafarersbrowse.details?p_lang=en&p_abandonment_id=315&p_search_id=211217142103,Malta,,,"Port of Souda, Crete",Govt. of Ukraine,,
202,Melilli,,seafarersbrowse.details?p_lang=en&p_abandonment_id=228&p_search_id=211217142103,Panama,8 July 2015,14 July 2015,"Lagos, Nigeria",ITF,2015,2015
203,Melimass,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=510&p_search_id=211217142103,Cook Islands,15 December 2020,18 January 2021,"Suez, Egypt",ITF,2020,2021
204,Miski,,seafarersbrowse.details?p_lang=en&p_abandonment_id=324&p_search_id=211217142103,Panama,17 September 2017,25 October 2017,"Karachi, Pakistan",ITF,2017,2017
205,Miss Gaunt,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=362&p_search_id=211217142103,Curacao(Kingdom of the Netherlands),19 October 2018,16 November 2018,Alang India ,ITF,2018,2018
206,Mubariz Ibrahimov ,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=487&p_search_id=211217142103,Malta,12 September 2020,2 December 2020,"Istanbul, Turkey",ITF,2020,2020
207,Mugan ,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=511&p_search_id=211217142103,Malta,19 July 2020,18 January 2021,"Istanbul, Turkey",ITF,2020,2021
208,Nader,,seafarersbrowse.details?p_lang=en&p_abandonment_id=572&p_search_id=211217142103,Tanzania,19 September 2021,20 September 2021,"Suez, Egypt",ITF,2021,2021
209,Nader,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=425&p_search_id=211217142103,Tanzania,18 November 2019,28 February 2020,"Sawakin Port, Sudan",ITF,2019,2020
210,Nafto Cement XVI,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=176&p_search_id=211217142103,St. Vincent & Grenadines,April 2011,,"Valencia, Spain",Govt. of Philippines,2011,
211,Najlan,,seafarersbrowse.details?p_lang=en&p_abandonment_id=534&p_search_id=211217142103,St. Kitts & Nevis,22 March 2021,4 May 2021,"Abidjan, Cote d'Ivoire",ITF,2021,2021
212,Nam Yang 8,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=130&p_search_id=211217142103,"Korea, Democratic People's Republic of",10 February 2010,,aground near by Manila,ITF,2010,
213,Navimar 3,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=402&p_search_id=211217142103,St. Kitts & Nevis,1 May 2019,29 July 2019,Sharjah,International Chamber of Shipping,2019,2019
214,Nemesis,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=116&p_search_id=211217142103,Comoros,1 April 2009,30 November 2009,Isatanbul,ITF,2009,2009
215,Nemo,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=172&p_search_id=211217142103,Antigua & Barbuda,17 March 2011,11 May 2011,"Izmit bay, Turkey",ITF,2011,2011
216,Nereus,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=443&p_search_id=211217142103,Panama,January 2020,20 July 2020,"Dubai, UAE",ITF,2020,2020
217,Nesibe E,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=103&p_search_id=211217142103,Cambodia,January 2009,January 2009,"Civitavecchia, Italy",ITF,2009,2009
218,New Orion,,seafarersbrowse.details?p_lang=en&p_abandonment_id=485&p_search_id=211217142103,Cameroon,18 November 2020,18 November 2020,"Jiangyin, China",ITF,2020,2020
219,Nika Fortune,,seafarersbrowse.details?p_lang=en&p_abandonment_id=380&p_search_id=211217142103,Palau,29 December 2018,15 January 2019,"Varna, Bulgaria",ITF,2018,2019
220,Nissi Commander I,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=524&p_search_id=211217142103,Mongolia,12 January 2021,15 March 2021,"Santa Marta, Colombia",ITF,2021,2021
221,Noble Breeze,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=384&p_search_id=211217142103,St. Vincent & Grenadines,7 February 2019,21 February 2019,"Klang Bunkering Anchorage, Malaysia",ITF,2019,2019
222,Nord,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=441&p_search_id=211217142103,Liberia,16 June 2020,30 June 2020,"Qindao, China",Govt. of Liberia,2020,2020
223,Nordland,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=31&p_search_id=211217142103,St. Vincent & Grenadines,3 June 2005,3 June 2005,Santander (Spain),ITF,2005,2005
224,OSG Beautec,,seafarersbrowse.details?p_lang=en&p_abandonment_id=580&p_search_id=211217142103,Hong Kong,23 September 2021,25 October 2021,"En-route to Sakaimina, Japan",ITF,2021,2021
225,Ocean Grand,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=218&p_search_id=211217142103,Panama,11 September 2014,15 October 2015,"Batam Centre, Indonesia",ITF,2014,2015
226,Ocean Pride,,seafarersbrowse.details?p_lang=en&p_abandonment_id=284&p_search_id=211217142103,Panama,12 May 2017,30 June 2017,"Sharjah Anchorage, UAE",ITF,2017,2017
227,Ocean Sparkle,,seafarersbrowse.details?p_lang=en&p_abandonment_id=235&p_search_id=211217142103,Indonesia,26 March 2015,3 August 2015,"Algeciras, Spain",ITF,2015,2015
228,Offshore Warrior,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=569&p_search_id=211217142103,Tanzania,July 2021,17 September 2021,"Colombo, Sri Lanka",ITF,2021,2021
229,Olesya,,seafarersbrowse.details?p_lang=en&p_abandonment_id=353&p_search_id=211217142103,Gibraltar,January 2018,March 2018,"Chaguaramas, Trinidad and Tobago",ITF,2018,2018
230,Olga Golovushkina,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=512&p_search_id=211217142103,Malta,19 July 2020,18 January 2021,"Istanbul, Turkey",ITF,2020,2021
231,Oman Pride,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=528&p_search_id=211217142103,Liberia,24 February 2021,16 March 2021,"Sohar, Oman",Govt. of Liberia,2021,2021
232,Omidan 3,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=456&p_search_id=211217142103,Iran,19 December 2019,12 October 2020,"Khorramshahr, Iran",International Chamber of Shipping,2019,2020
233,Onda,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=454&p_search_id=211217142103,Togo,1 March 2020,12 October 2020,"Douala, Cameroon",ITF,2020,2020
234,Orestina,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=354&p_search_id=211217142103,Gibraltar,30 July 2018,1 August 2018,"Tuzla, Turkey",ITF,2018,2018
235,Oriental Dragon,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=477&p_search_id=211217142103,Panama,13 July 2020,23 October 2020,"Penang, Malaysia",ITF,2020,2020
236,PANORMITIS.AV,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=261&p_search_id=211217142103,Liberia,20 July 2016,7 February 2017,"Sriracha anchorage, Thailand",Other,2016,2017
237,PB 1,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=311&p_search_id=211217142103,St. Kitts & Nevis,4 March 2017,22 September 2017,"Callao, Peru",ITF,2017,2017
238,PFS Brave,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=296&p_search_id=211217142103,India,16 August 2017,16 August 2017,Mumbai,ITF,2017,2017
239,PFS Supplier,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=297&p_search_id=211217142103,India,16 August 2017,16 August 2017,Mumbai,ITF,2017,2017
240,PTOLEMEOS,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=413&p_search_id=211217142103,Liberia,15 September 2019,19 November 2019,Port of Djibouti,Govt. of Greece,2019,2019
241,Pan Prosperity,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=265&p_search_id=211217142103,Panama,28 February 2017,1 March 2017,"Guanta,Venezuela",ITF,2017,2017
242,Pearl Coast,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=408&p_search_id=211217142103,Dominica,18 October 2019,1 November 2019,"Dakar, Senegal",ITF,2019,2019
243,Pegasus II,,seafarersbrowse.details?p_lang=en&p_abandonment_id=338&p_search_id=211217142103,,March 2018,,Outer Anchorage Suez Bay,ITF,2018,
244,Pots Express,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=41&p_search_id=211217142103,Panama,30 September 2005,30 September 2005,"Monrovia, Liberia",ITF,2005,2005
245,President,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=545&p_search_id=211217142103,Panama,28 May 2021,11 June 2021,"Georgetown, Guyana",ITF,2021,2021
246,Princess Danae,,seafarersbrowse.details?p_lang=en&p_abandonment_id=278&p_search_id=211217142103,Portugal,17 September 2012,,Marseille,Govt. of France,2012,
247,QT One,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=264&p_search_id=211217142103,,15 February 2017,27 February 2017,"Sharjah, UAE",ITF,2017,2017
248,Qaaswa,,seafarersbrowse.details?p_lang=en&p_abandonment_id=288&p_search_id=211217142103,United Arab Emirates,12 May 2017,3 July 2017,"Sfax, Tunisia",ITF,2017,2017
249,Qaaswa,,seafarersbrowse.details?p_lang=en&p_abandonment_id=313&p_search_id=211217142103,United Arab Emirates,3 July 2017,3 July 2017,"Sfax, Tunisia",ITF,2017,2017
250,Qian Tai 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=566&p_search_id=211217142103,Liberia,30 August 2021,1 September 2021,"Kakinada, India",Govt. of Liberia,2021,2021
251,Queen Bihanga,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=305&p_search_id=211217142103,Tanzania,11 September 2017,19 September 2017,"Anchorage, Tanjung Priok, Jakarta",ITF,2017,2017
252,Queen Helena,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=423&p_search_id=211217142103,Panama,3 April 2019,28 February 2020,"Fujairah, UAE",International Chamber of Shipping,2019,2020
253,Queen Luca,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=552&p_search_id=211217142103,Panama,1 June 2021,21 June 2021,"Kumkapi Anchorage, Turkey",ITF,2021,2021
254,RED DUCHESS,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=214&p_search_id=211217142103,,23 October 2014,24 October 2014,"Bolnes, Rotterdam, the Netherlands",ITF,2014,2014
255,Rah Goshayan 1,,seafarersbrowse.details?p_lang=en&p_abandonment_id=525&p_search_id=211217142103,Iran,January 2021,15 March 2021,"Kish Port, Iran",ITF,2021,2021
256,Raha,,seafarersbrowse.details?p_lang=en&p_abandonment_id=567&p_search_id=211217142103,Tanzania,15 May 2021,7 September 2021,"Busher, Iran",ITF,2021,2021
257,Ratibor,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=237&p_search_id=211217142103,Cook Islands,31 March 2016,6 April 2016,Malaga,ITF,2016,2016
258,Rawan,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=365&p_search_id=211217142103,Tanzania,15 September 2018,1 October 2018,OTW Malta,ITF,2018,2018
259,Reggae,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=420&p_search_id=211217142103,Comoros,14 February 2020,25 February 2020,"Sfax, Tunisia > Nemrut, Turkey > Istanbul, Turkey",ITF,2020,2020
260,Rio Tagus,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=160&p_search_id=211217142103,St. Vincent & Grenadines,3 November 2010,16 December 2010,"Sete, France",ITF,2010,2010
261,Rising Phoenix,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=358&p_search_id=211217142103,Singapore,14 August 2018,23 August 2018,"Dammam Port, Kingdom of Saudi Arabia",ITF,2018,2018
262,Ritchi Maru,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=492&p_search_id=211217142103,Sierra Leone,9 November 2020,18 December 2020,"Kaohsiung, Taiwan",ITF,2020,2020
263,Rui Sheng,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=450&p_search_id=211217142103,Panama,February 2020,20 July 2020,Thailand,International Chamber of Shipping,2020,2020
264,STAR SKN-151 - fishing vessel,,seafarersbrowse.details?p_lang=en&p_abandonment_id=579&p_search_id=211217142103,Cook Islands,15 September 2021,14 October 2021,Las Palmas,ITF,2021,2021
265,SV Topia Pearl,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=233&p_search_id=211217142103,Panama,23 December 2015,25 December 2015,Luanda (Angola),ITF,2015,2015
266,Saeb,,seafarersbrowse.details?p_lang=en&p_abandonment_id=546&p_search_id=211217142103,Panama,24 May 2021,11 June 2021,"Lengeh, Iran",ITF,2021,2021
267,Sai Arambh,,seafarersbrowse.details?p_lang=en&p_abandonment_id=553&p_search_id=211217142103,India,18 October 2019,21 June 2021,"Colombo, Sri Lanka",ITF,2019,2021
268,Sala 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=444&p_search_id=211217142103,Panama,6 July 2020,20 July 2020,"Hamriyah, UAE",ITF,2020,2020
269,Sala 1,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=339&p_search_id=211217142103,Panama,14 April 2018,14 April 2018,"Khorfakkan B anchorage, UAE",ITF,2018,2018
270,Sam Eagle,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=435&p_search_id=211217142103,Liberia,2 April 2020,28 April 2020,"Charleston, South Carolina, USA",Govt. of Liberia,2020,2020
271,Samed,,seafarersbrowse.details?p_lang=en&p_abandonment_id=547&p_search_id=211217142103,Panama,24 May 2021,11 June 2021,"Lengeh, Iran",ITF,2021,2021
272,Sanad,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=304&p_search_id=211217142103,Bahrain,17 June 2017,,"Colombo, Sri Lanka",ITF,2017,
273,Saoura,,seafarersbrowse.details?p_lang=en&p_abandonment_id=590&p_search_id=211217142103,Algeria,29 October 2021,5 November 2021,"Brest, France",ITF,2021,2021
274,Sarem,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=385&p_search_id=211217142103,St. Vincent & Grenadines,12 February 2019,21 February 2019,"Hamriyah Free Zone, UAE",ITF,2019,2019
275,Scout,,seafarersbrowse.details?p_lang=en&p_abandonment_id=389&p_search_id=211217142103,Belize,January 2019,11 April 2019,"Mesaieed, Qatar",Govt. of Belize,2019,2019
276,Sea Condor,,seafarersbrowse.details?p_lang=en&p_abandonment_id=554&p_search_id=211217142103,Mongolia,8 June 2021,21 June 2021,"Cadiz, Spain",ITF,2021,2021
277,Sea Coral,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=513&p_search_id=211217142103,Cook Islands,8 January 2021,20 January 2021,"Johor Bahru, Malaysia",ITF,2021,2021
278,Sea Gloria,,seafarersbrowse.details?p_lang=en&p_abandonment_id=532&p_search_id=211217142103,Panama,3 April 2021,23 April 2021,"Asaluyah, Iran",ITF,2021,2021
279,Sea Power,,seafarersbrowse.details?p_lang=en&p_abandonment_id=518&p_search_id=211217142103,Marshall Islands,1 February 2021,5 February 2021,"Jebel Ali-Dubai, UAE",ITF,2021,2021
280,Sea Princess,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=519&p_search_id=211217142103,Cook Islands,30 January 2021,5 February 2021,"Khor Fakkan, UAE",ITF,2021,2021
281,Sea Soul 1,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=221&p_search_id=211217142103,Tanzania,16 August 2014,23 March 2015,"Dakar, Senegal",ITF,2014,2015
282,Seren Ayanoglu,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=223&p_search_id=211217142103,Turkey,5 February 2015,14 April 2015,"Casablanca, Morocco",ITF,2015,2015
283,Serrano,,seafarersbrowse.details?p_lang=en&p_abandonment_id=563&p_search_id=211217142103,Togo,21 July 2021,9 August 2021,"Jabel Ali, UAE",ITF,2021,2021
284,Sexta,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=445&p_search_id=211217142103,Panama,25 May 2020,20 July 2020,"Jebel Ali, UAE",ITF,2020,2020
285,Shahin Kish,,seafarersbrowse.details?p_lang=en&p_abandonment_id=568&p_search_id=211217142103,Iran,5 February 2021,7 September 2021,Iran,ITF,2021,2021
286,Shaker 1,,seafarersbrowse.details?p_lang=en&p_abandonment_id=326&p_search_id=211217142103,Togo,14 January 2018,24 January 2018,"Salalah, Oman",ITF,2018,2018
287,Shaker,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=290&p_search_id=211217142103,Togo,4 July 2017,7 July 2017,"Sharjah, UAE",ITF,2017,2017
288,Shams 110,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=507&p_search_id=211217142103,Iran,2 February 2020,4 January 2021,"Bushehr, Iran",ITF,2020,2021
289,Shang Yuan Bao,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=386&p_search_id=211217142103,,21 February 2019,4 March 2019,"Luoyuan, China",ITF,2019,2019
290,Shashvadhaa 1,,seafarersbrowse.details?p_lang=en&p_abandonment_id=379&p_search_id=211217142103,Malaysia,November 2018,7 January 2019,"Kota Kinabalu, Malaysia",Other,2018,2019
291,Sheng Ming,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=332&p_search_id=211217142103,Panama,20 November 2017,13 December 2017,"Freetown, Sierra Leone",ITF,2017,2017
292,Shetab,,seafarersbrowse.details?p_lang=en&p_abandonment_id=583&p_search_id=211217142103,Iran,3 January 2021,25 October 2021,"Kish, Iran",ITF,2021,2021
293,Shovket Alekperova,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=466&p_search_id=211217142103,Malta,19 July 2020,19 October 2020,"Istanbul anchorage, Turkey",ITF,2020,2020
294,Shui Jing Ling,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=562&p_search_id=211217142103,Mongolia,14 July 2021,9 August 2021,"Taichung, Taiwan",ITF,2021,2021
295,Sider Pink,,seafarersbrowse.details?p_lang=en&p_abandonment_id=279&p_search_id=211217142103,Liberia,16 August 2015,,La Rochelle,Govt. of France,2015,
